strain,time,spot
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
yQC22,0.0,1.0
